Rk;Player;Pos;Age;Tm;G;GS;MP;FG;FGA;FG%;3P;3PA;3P%;2P;2PA;2P%;eFG%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS;Player-additional
1;Precious Achiuwa;C;23;TOR;55;12;1140;196;404;0,336805556;29;108;0,186805556;167;296;0,391666667;0,361805556;87;124;0,4875;100;228;328;50;31;30;59;102;508;achiupr01
2;Steven Adams;C;29;MEM;42;42;1133;157;263;0,414583333;0;1;0;157;262;0,415972222;0,414583333;47;129;0,252777778;214;271;485;97;36;46;79;98;361;adamsst01
3;Bam Adebayo;C;25;MIA;75;75;2598;602;1114;00.54;1;12;0.083;601;1102;0,378472222;0,375694444;324;402;0,559722222;184;504;688;240;88;61;187;208;1529;adebaba01
4;Ochai Agbaji;SG;22;UTA;59;22;1209;165;386;0,296527778;81;228;0,246527778;84;158;0,369444444;0,369444444;56;69;0,563888889;43;78;121;67;16;15;41;99;467;agbajoc01
5;Santi Aldama;PF;22;MEM;77;20;1682;247;525;00.47;94;266;0,245138889;153;259;0,410416667;00.56;108;144;0,052083333;85;286;371;97;45;48;60;143;696;aldamsa01
6;Nickeil Alexander-Walker;SG;24;MIN;59;3;884;131;295;0,308333333;61;159;0,266666667;70;136;0,357638889;0,379861111;40;60;0,463194444;15;86;101;108;32;21;55;88;363;alexani01
7;Grayson Allen;SG;27;MIL;72;70;1972;245;557;00.44;146;366;0,277083333;99;191;0,359722222;0,396527778;114;126;0,628472222;61;176;237;163;62;14;72;117;750;allengr01
8;Jarrett Allen;C;24;CLE;68;68;2220;403;626;0,447222222;1;10;00.01;402;616;0,453472222;0,447916667;162;221;0,509027778;221;445;666;113;54;84;93;153;969;allenja01
9;Jose Alvarado;PG;24;NOP;61;10;1310;201;489;0,285416667;83;247;0,233333333;118;242;0,338888889;0,344444444;65;80;0,564583333;28;113;141;186;67;10;81;125;550;alvarjo01
10;Kyle Anderson;PF;29;MIN;69;46;1957;252;495;0,353472222;43;105;00.41;209;390;0,372222222;0,384027778;100;136;0,510416667;66;302;368;335;78;63;103;146;647;anderky01
11;Giannis Antetokounmpo;PF;28;MIL;63;63;2024;707;1278;0,384027778;47;171;0,190972222;660;1107;0,413888889;0,397222222;498;772;0,447916667;137;605;742;359;52;51;246;197;1959;antetgi01
12;Thanasis Antetokounmpo;PF;30;MIL;37;0;206;20;46;0,302083333;0;8;0;20;38;0,365277778;0,302083333;11;22;00.05;15;29;44;15;3;3;12;22;51;antetth01
13;Cole Anthony;PG;22;ORL;60;4;1552;277;610;0,315277778;75;206;0,252777778;202;404;00.05;0,358333333;152;170;0,620833333;47;241;288;235;37;31;91;158;781;anthoco01
14;OG Anunoby;SF;25;TOR;67;67;2386;421;885;0,330555556;142;367;0,26875;279;518;0,374305556;0,386111111;140;167;0,581944444;95;237;332;131;128;50;132;200;1124;anunoog01
15;Ryan Arcidiacono;PG;28;POR;20;4;172;9;37;0,16875;8;23;0,241666667;1;14;0.071;0,24375;0;0;;0;15;15;23;5;0;7;17;26;arcidry01
16;Deni Avdija;SF;22;WAS;76;40;2020;253;579;0,303472222;69;232;0,20625;184;347;00.53;0,345138889;122;165;0,513194444;74;413;487;211;65;29;123;209;697;avdijde01
17;Deandre Ayton;C;24;PHO;67;67;2035;522;887;0,409027778;7;24;0,202777778;515;863;0,414583333;0,411111111;152;200;0,052777778;172;495;667;115;37;53;120;190;1203;aytonde01
18;Udoka Azubuike;C;23;UTA;36;4;359;59;72;0,56875;0;0;;59;72;0,56875;0,56875;7;20;00.35;31;88;119;11;6;15;18;34;125;azubuud01
19;Marvin Bagley III;C;23;DET;42;25;990;202;382;0,367361111;19;66;0,2;183;316;0,402083333;0,384722222;81;108;0,052083333;94;175;269;36;19;30;46;81;504;baglema01
20;Patrick Baldwin Jr.;SF;20;GSW;31;0;226;43;109;0,273611111;32;84;0,264583333;11;25;00.44;0,375694444;4;6;0,463194444;1;39;40;11;6;4;11;14;122;baldwpa01
21;LaMelo Ball;PG;21;CHO;36;36;1268;296;721;0,285416667;144;383;0,261111111;152;338;00.45;00.51;102;122;0,580555556;42;189;231;304;46;11;129;118;838;ballla01
22;Mo Bamba;C;24;LAL;49;7;769;117;241;0,336805556;48;124;0,26875;69;117;00.59;0,40625;41;62;0,459027778;58;167;225;46;13;43;30;105;323;bambamo01
23;Paolo Banchero;PF;20;ORL;72;72;2430;479;1122;0,296527778;85;285;0,206944444;394;837;0,327083333;0,322916667;394;534;0,5125;84;413;497;269;60;39;200;160;1437;banchpa01
24;Desmond Bane;SG;24;MEM;58;58;1841;450;939;0,332638889;166;407;0,283333333;284;532;0,370833333;0,394444444;181;205;0,613194444;43;248;291;254;56;22;126;150;1247;banede01
25;Dalano Banton;PG;23;TOR;31;2;279;55;130;0,29375;15;51;0,204166667;40;79;0,351388889;0,334027778;17;24;0,491666667;11;34;45;36;13;13;18;34;142;bantoda01
26;Dominick Barlow;PF;19;SAS;28;0;408;46;86;0,371527778;0;4;0;46;82;0,389583333;0,371527778;18;25;0,05;46;56;102;24;10;19;15;56;110;barlodo01
27;Harrison Barnes;PF;30;SAC;82;82;2662;374;791;0,328472222;132;353;0,259722222;242;438;0,384027778;0,386111111;350;413;0,588194444;87;279;366;128;57;10;86;103;1230;barneha02
28;Scottie Barnes;SF;21;TOR;77;76;2678;463;1016;0,316666667;63;224;0,195138889;400;792;0,350694444;0,338194444;190;246;0,536111111;179;333;512;371;83;61;154;170;1179;barnesc01
29;RJ Barrett;SG;22;NYK;73;73;2475;510;1176;0,301388889;121;390;00.31;389;786;0,34375;0,336805556;290;392;0,051388889;60;308;368;201;31;15;164;179;1431;barrerj01
30;Will Barton;SG;32;TOR;56;2;993;138;364;0,263194444;66;180;0,254861111;72;184;0,271527778;00.47;37;47;0,546527778;15;122;137;112;28;13;48;56;379;bartowi01
31;Charles Bassey;C;22;SAS;35;2;508;87;135;0,447222222;3;8;0,260416667;84;127;0,459027778;0,455555556;22;37;0,413194444;75;118;193;47;16;33;41;74;199;bassech01
32;Keita Bates-Diop;PF;27;SAS;67;42;1452;236;465;0,352777778;56;142;0,273611111;180;323;0,386805556;0,394444444;119;150;0,550694444;65;183;248;103;46;20;56;63;647;bateske01
33;Nicolas Batum;PF;34;LAC;78;19;1709;160;381;00.42;124;317;0,271527778;36;64;0,390972222;0,404861111;34;48;0,491666667;62;237;299;121;54;44;50;149;478;batumni01
34;Darius Bazley;C;22;PHO;43;1;616;83;183;0,315277778;20;53;0,261805556;63;130;0,336805556;0,352777778;38;70;0,377083333;34;104;138;38;22;34;27;44;224;bazleda01
35;Bradley Beal;SG;29;WAS;50;50;1673;444;878;0,351388889;80;219;0,253472222;364;659;0,383333333;0,382638889;192;228;0,584722222;41;155;196;271;45;33;145;107;1160;bealbr01
36;Malik Beasley;SG;26;LAL;81;27;2093;370;937;0,274305556;235;658;0,247916667;135;279;0,336111111;00.52;50;65;0,534027778;35;248;283;124;65;9;90;107;1025;beaslma01
37;MarJon Beauchamp;SF;22;MIL;52;11;701;96;243;0,274305556;47;142;0,229861111;49;101;0,336805556;0,341666667;27;37;0,050694444;38;77;115;35;21;7;45;71;266;beaucma01
38;DÄvis BertÄns;PF;30;DAL;45;1;492;69;160;0,299305556;55;141;00.39;14;19;0,511805556;0,41875;13;15;0,602083333;10;43;53;21;11;8;10;53;206;bertada01
39;Patrick Beverley;SG-PG;34;CHI;67;67;1816;144;360;00.04;80;239;0,232638889;64;121;0,367361111;0,354861111;47;65;0,502083333;44;203;247;194;63;41;60;187;415;beverpa01
40;Saddiq Bey;SF;23;ATL;77;37;2129;353;836;0,293055556;151;418;0,250694444;202;418;0,335416667;0,35625;205;238;0,597916667;98;264;362;118;70;13;71;123;1062;beysa01
41;Khem Birch;C;30;TOR;20;0;162;19;32;0,4125;1;2;00.05;18;30;00.06;0,422916667;4;5;00.08;8;17;25;7;5;5;8;24;43;birchkh01
42;Goga Bitadze;C;23;ORL;38;1;457;69;125;0,383333333;6;26;0,160416667;63;99;0,441666667;0,4;23;42;0,380555556;61;76;137;39;16;26;22;64;167;bitadgo01
43;Bismack Biyombo;C;30;PHO;61;14;874;119;206;0,401388889;0;0;;119;206;0,401388889;0,401388889;25;70;0,247916667;89;171;260;56;18;88;51;114;263;biyombi01
44;Buddy Boeheim;SF;23;DET;10;0;90;5;27;0,128472222;4;25;00.16;1;2;00.05;0,179861111;2;2;1;2;4;6;4;2;0;0;6;16;boehebu01
45;Bogdan BogdanoviÄ‡;SG;30;ATL;54;9;1508;273;611;0,310416667;146;360;0,281944444;127;251;0,351388889;0,393055556;64;77;0,577083333;23;142;165;150;43;18;65;86;756;bogdabo01
46;Bojan BogdanoviÄ‡;PF;33;DET;59;59;1893;430;882;0,338888889;145;353;0,285416667;285;529;0,374305556;00.57;268;303;0,613888889;36;187;223;152;34;8;135;113;1273;bogdabo02
47;Bol Bol;PF;23;ORL;70;33;1505;261;478;0,379166667;30;113;0,184027778;231;365;0,439583333;0,400694444;82;108;0,527083333;69;336;405;69;30;85;112;92;634;bolbo01
48;Leandro Bolmaro;SF;22;UTA;14;0;68;3;20;00.15;0;4;0;3;16;0,130555556;00.15;0;0;;4;3;7;7;3;1;7;10;6;bolmale01
49;Devin Booker;SG;26;PHO;53;53;1835;527;1067;0,343055556;111;316;0,24375;416;751;0,384722222;0,379166667;306;358;0,59375;46;194;240;293;51;18;145;159;1471;bookede01
50;Brandon Boston Jr.;SF;21;LAC;22;1;248;51;122;0,290277778;12;29;0,2875;39;93;0,290972222;0,324305556;29;38;0,529861111;7;23;30;20;9;0;12;21;143;bostobr01
51;Chris Boucher;PF;30;TOR;76;0;1523;261;529;0,342361111;62;189;0,227777778;199;340;0,40625;0,383333333;128;168;0,529166667;157;264;421;29;47;64;41;143;712;bouchch01
52;James Bouknight;SG;22;CHO;34;0;515;69;193;0,248611111;33;109;0,210416667;36;84;0,297916667;0,307638889;20;30;0,463194444;8;64;72;41;14;5;32;49;191;bouknja01
53;Jamaree Bouyea;PG;23;WAS;5;0;71;6;14;0,297916667;2;6;0,23125;4;8;00.05;00.05;1;2;00.05;1;5;6;4;4;2;4;6;15;bouyeja01
54;Tony Bradley;C;25;CHI;12;0;33;6;12;00.05;3;5;00.06;3;7;0,297916667;0,434027778;4;4;1;1;10;11;1;1;1;1;2;19;bradlto01
55;Malaki Branham;SG;19;SAS;66;32;1550;269;611;00.44;77;255;0,209722222;192;356;0,374305556;0,349305556;58;70;0,575694444;28;153;181;127;33;7;76;115;673;branhma01
56;Jarrell Brantley;PF;26;UTA;4;0;39;8;14;0,396527778;4;9;0,308333333;4;5;00.08;0,495833333;2;2;1;1;5;6;3;0;2;2;3;22;brantja01
57;Christian Braun;SG;21;DEN;76;6;1181;143;289;0,34375;34;96;0,245833333;109;193;0,392361111;0,384722222;40;64;0,434027778;48;133;181;59;41;17;35;101;360;braunch01
58;Mikal Bridges;SF-SG;26;BRK;83;83;2963;593;1267;0,325;169;442;0,265277778;424;825;0,356944444;0,371527778;316;353;0,621527778;79;285;364;273;91;61;127;159;1671;bridgmi01
59;Oshae Brissett;PF;24;IND;65;2;1083;123;319;0,268055556;48;155;00.31;75;164;0,317361111;0,320138889;104;145;0,497916667;62;156;218;44;33;13;34;79;398;brissos01
60;Malcolm Brogdon;PG;30;BOS;67;0;1744;354;732;0,336111111;132;297;0,308333333;222;435;00.51;0,398611111;160;184;0,060416667;42;238;280;248;45;18;98;109;1000;brogdma01
61;Dillon Brooks;SF;27;MEM;73;73;2214;392;991;0,275;143;439;0,226388889;249;552;0,313194444;0,325;120;154;0,540972222;45;199;244;189;65;16;104;240;1047;brookdi01
62;Bruce Brown;SF;26;DEN;80;31;2280;358;741;0,335416667;91;254;0,248611111;267;487;0,380555556;0,378472222;116;153;0,526388889;63;265;328;268;87;51;123;190;923;brownbr01
63;Greg Brown III;PF;21;POR;16;0;93;11;28;0,272916667;1;7;0,099305556;10;21;0,330555556;0,285416667;5;12;0,289583333;2;17;19;3;4;5;6;13;28;browngr01
64;Jaylen Brown;SF;26;BOS;67;67;2405;679;1383;0,340972222;163;487;0,232638889;516;896;0,4;00.55;263;344;0,53125;78;381;459;232;75;26;197;172;1784;brownja02
65;Kendall Brown;SG;19;IND;6;0;40;4;7;0,396527778;0;1;0;4;6;0,463194444;0,396527778;1;2;00.05;2;4;6;3;4;0;2;9;9;brownke03
66;Moses Brown;C;23;BRK;36;1;294;61;96;0,440972222;0;0;;61;96;0,440972222;0,440972222;33;72;0,318055556;57;82;139;4;4;14;15;39;155;brownmo01
67;Sterling Brown;SF;27;LAL;4;0;24;0;4;0;0;2;0;0;2;0;0;0;0;;3;5;8;2;3;0;0;4;0;brownst02
68;Troy Brown Jr.;SF;23;LAL;76;45;1860;200;465;00.43;107;281;0,264583333;93;184;0,350694444;0,378472222;34;39;0,605555556;62;246;308;95;59;16;49;120;541;browntr01
69;Jalen Brunson;PG;26;NYK;68;68;2379;587;1195;0,340972222;134;322;0,288888889;453;873;0,360416667;0,379861111;325;392;0,575694444;40;201;241;421;61;15;142;152;1633;brunsja01
70;Thomas Bryant;C;25;DEN;59;26;1081;230;369;0,432638889;26;59;0,30625;204;310;0,456944444;0,457638889;93;126;0,5125;86;253;339;31;16;30;38;102;579;bryanth01
71;Reggie Bullock;SF;31;DAL;78;55;2364;192;470;0,284027778;151;397;00.38;41;73;0,390277778;0,395138889;26;37;0,488194444;32;251;283;108;54;13;36;166;561;bullore01
72;Alec Burks;SG;31;DET;51;8;1122;200;459;0,302777778;99;239;0,2875;101;220;0,31875;0,377777778;153;188;0,565277778;19;139;158;114;38;8;58;98;652;burksal01
73;Deonte Burton;PF;29;SAC;2;0;6;0;2;0;0;1;0;0;1;0;0;0;0;;0;0;0;0;0;0;0;0;0;burtode02
74;Jared Butler;PG;22;OKC;6;1;77;15;32;0,325694444;7;14;00.05;8;18;0,308333333;0,401388889;0;0;;1;3;4;8;5;0;5;5;37;butleja02
75;Jimmy Butler;PF;33;MIA;64;64;2138;479;888;0,374305556;36;103;00.35;443;785;0,391666667;00.56;472;555;0,059027778;141;234;375;340;117;21;101;80;1466;butleji01
76;John Butler;C;20;POR;19;1;221;17;53;0,222916667;8;35;0,159027778;9;18;00.05;0,275;3;4;0,052083333;3;14;17;11;7;9;1;22;45;butlejo01
77;Jamal Cain;PF;23;MIA;18;0;240;37;66;0,389583333;7;20;00.35;30;46;0,452777778;0,426388889;17;22;0,536805556;15;37;52;12;11;1;6;21;98;cainja01
78;Kentavious Caldwell-Pope;SG;29;DEN;76;76;2381;292;632;0,320833333;135;319;0,29375;157;313;0,348611111;0,395138889;103;125;0,572222222;35;173;208;183;112;35;86;145;822;caldwke01
79;Facundo Campazzo;PG;31;DAL;8;0;52;3;13;0,160416667;3;11;0,189583333;0;2;0;0,240277778;1;2;00.05;0;2;2;9;6;0;3;3;10;campafa01
80;Vlatko ÄŒanÄar;PF;25;DEN;60;9;889;108;227;0,330555556;43;115;0,259722222;65;112;00.58;00.57;38;41;0,64375;24;104;128;80;22;14;37;84;297;cancavl01
81;Clint Capela;C;28;ATL;65;63;1730;350;536;0,453472222;0;1;0;350;535;0,454166667;0,453472222;79;131;0,41875;258;459;717;58;45;79;54;139;779;capelca01
82;Vernon Carey Jr.;C;21;WAS;11;0;28;2;8;00.25;0;0;;2;8;00.25;00.25;2;2;1;3;8;11;3;2;2;2;5;6;careyve01
83;Jevon Carter;PG;27;MIL;81;39;1810;239;565;0,29375;142;337;0,292361111;97;228;0,295138889;0,38125;31;38;0,566666667;35;167;202;197;66;29;78;158;651;carteje01
84;Wendell Carter Jr.;C;23;ORL;57;54;1690;322;613;0,364583333;80;225;0,247222222;242;388;0,433333333;0,410416667;144;195;0,5125;120;377;497;132;30;33;106;159;868;cartewe01
85;Michael Carter-Williams;PG;31;ORL;4;0;44;6;14;0,297916667;1;3;0,23125;5;11;0,315972222;0,322222222;4;7;0,396527778;1;4;5;7;1;1;4;5;17;cartemi01
86;Alex Caruso;PG;28;CHI;67;36;1575;130;286;0,315972222;55;151;0,252777778;75;135;0,386111111;0,382638889;59;73;0,561111111;42;154;196;193;98;46;77;159;374;carusal01
87;Julian Champagnie;SF;21;SAS;17;3;320;59;130;0,315277778;33;82;0,279166667;26;48;0,376388889;0,403472222;14;17;0,572222222;10;50;60;10;6;5;11;26;165;champju02
89;Kennedy Chandler;PG;20;MEM;36;0;281;35;83;0,293055556;2;15;0,092361111;33;68;0,336805556;0,301388889;6;13;0,320833333;9;29;38;58;12;5;18;15;78;chandke01
90;Max Christie;SG;19;LAL;41;3;512;44;106;0,288194444;26;62;0,290972222;18;44;0,284027778;0,373611111;14;16;0,607638889;7;68;75;21;9;7;13;33;128;chrisma02
91;Josh Christopher;SG;21;HOU;64;2;786;153;329;0,322916667;21;89;0,163888889;132;240;00.55;0,345138889;45;60;0,052083333;20;51;71;73;33;15;60;59;372;chrisjo01
92;Brandon Clarke;PF;26;MEM;56;8;1090;229;349;0,455555556;1;6;0,115972222;228;343;0,461805556;0,456944444;99;137;0,502083333;92;218;310;72;34;37;55;131;558;clarkbr01
93;Jordan Clarkson;SG;30;UTA;61;61;1988;458;1031;0,308333333;155;459;0,234722222;303;572;00.53;0,360416667;200;245;0,566666667;72;174;246;270;33;13;186;120;1271;clarkjo01
94;Nic Claxton;C;23;BRK;76;76;2271;414;587;0,489583333;0;2;0;414;585;0,491666667;0,489583333;133;246;0,375694444;184;518;702;144;65;189;96;212;961;claxtni01
95;Amir Coffey;SF;25;LAC;50;9;625;56;145;0,268055556;11;40;0,190972222;45;105;0,297916667;0,294444444;49;63;0,540277778;17;36;53;53;7;5;21;50;172;coffeam01
96;John Collins;PF;25;ATL;71;71;2130;359;707;0,352777778;70;240;0,202777778;289;467;0,429861111;0,386805556;143;178;0,557638889;77;385;462;85;42;73;79;220;931;collijo01
97;Zach Collins;C;25;SAS;63;26;1441;284;548;0,359722222;55;147;0,259722222;229;401;0,396527778;0,394444444;108;142;0,528472222;116;286;402;180;37;49;129;199;731;colliza01
98;Chance Comanche;C;26;POR;1;0;21;3;5;00.06;0;0;;3;5;00.06;00.06;1;4;00.25;2;1;3;0;0;1;0;0;7;comanch01
99;Mike Conley;PG;35;MIN;67;66;2029;261;610;0,297222222;135;351;0,267361111;126;259;0,3375;0,374305556;141;169;0,579166667;33;149;182;450;73;14;103;139;798;conlemi01
100;Pat Connaughton;SF;30;MIL;61;33;1443;165;421;0,272222222;109;322;0,235416667;56;99;0,393055556;0,361805556;27;41;0,457638889;50;233;283;77;37;11;33;69;466;connapa01
101;Xavier Cooks;PF;27;WAS;10;1;126;17;28;0,421527778;0;1;0;17;27;0,04375;0,421527778;4;10;00.04;16;22;38;6;6;4;8;13;38;cooksxa01
102;Robert Covington;PF;32;LAC;48;0;779;102;229;0,309027778;54;136;0,275694444;48;93;0,358333333;0,390972222;30;40;0,052083333;31;135;166;57;38;33;32;86;288;covinro01
103;Torrey Craig;PF;32;PHO;79;60;1948;228;500;0,316666667;100;253;0,274305556;128;247;0,359722222;0,386111111;32;45;0,49375;145;281;426;117;50;62;73;179;588;craigto01
104;Jae Crowder;PF;32;MIL;18;3;340;45;94;0,332638889;24;55;0,302777778;21;39;0,373611111;0,420833333;10;12;0,578472222;17;52;69;27;12;6;7;27;124;crowdja01
105;Jarrett Culver;SF;23;ATL;10;1;137;17;43;0,274305556;1;12;0.083;16;31;0,358333333;0,282638889;9;13;0,480555556;10;28;38;6;6;2;7;14;44;culveja01
106;Cade Cunningham;PG;21;DET;12;12;400;93;224;0,288194444;17;61;0,19375;76;163;0,323611111;0,314583333;36;43;0,58125;12;62;74;72;10;7;39;34;239;cunnica01
107;Seth Curry;SG;32;BRK;61;7;1211;208;449;0,321527778;94;232;0,28125;114;217;0,364583333;0,394444444;51;55;0,64375;13;87;100;99;36;7;51;96;561;curryse01
108;Stephen Curry;PG;34;GSW;56;56;1941;559;1133;0,342361111;273;639;0,296527778;286;494;0,402083333;0,426388889;257;281;0,635416667;39;302;341;352;52;20;179;117;1648;curryst01
109;Dyson Daniels;PG;19;NOP;59;11;1042;87;208;0,290277778;27;86;0,218055556;60;122;0,341666667;0,335416667;26;40;0,045138889;36;152;188;134;43;11;57;99;227;daniedy01
110;Anthony Davis;C;29;LAL;56;54;1904;542;962;0,390972222;19;74;0,178472222;523;888;0,409027778;0,397916667;348;444;0,544444444;195;507;702;148;59;114;122;146;1451;davisan02
111;Johnny Davis;SG;20;WAS;28;5;423;66;171;0,268055556;17;70;0,16875;49;101;0,336805556;0,302777778;14;27;0,360416667;10;55;65;28;10;8;17;48;163;davisjo06
112;Terence Davis;SG;25;SAC;64;5;841;154;364;0,29375;89;243;0,254166667;65;121;0,372916667;0,378472222;34;43;0,549305556;20;119;139;67;43;12;53;104;431;daviste02
113;JD Davison;SG;20;BOS;12;0;66;8;19;0,292361111;2;7;0,198611111;6;12;00.05;0,329166667;1;2;00.05;2;7;9;11;2;2;4;5;19;davisjd01
114;Darius Days;SF;23;HOU;4;0;25;5;12;0,289583333;3;10;00.03;2;2;1;0,376388889;2;2;1;1;5;6;1;0;1;0;2;15;daysda01
115;Dewayne Dedmon;C;33;PHI;38;1;426;77;151;00.51;12;39;0,213888889;65;112;00.58;00.55;33;49;0,467361111;34;100;134;26;9;19;25;75;199;dedmode01
116;Matthew Dellavedova;PG;32;SAC;32;0;213;17;50;00.34;9;27;0,23125;8;23;0,241666667;00.43;4;7;0,396527778;1;12;13;41;7;0;10;20;47;dellama01
117;DeMar DeRozan;SF;33;CHI;74;74;2682;657;1303;0,35;46;142;0,225;611;1161;0,365277778;0,3625;456;523;0,605555556;34;309;343;377;83;36;153;186;1816;derozde01
118;Moussa DiabatÃ©;C;21;LAC;22;1;195;24;47;0,354861111;1;2;00.05;23;45;0,354861111;0,361805556;10;16;0,434027778;31;19;50;4;7;8;9;15;59;diabamo01
119;Mamadi Diakite;C;26;CLE;22;2;176;24;50;00.48;7;21;0,23125;17;29;0,406944444;00.55;2;2;1;8;22;30;8;4;9;12;26;57;diakima01
120;Hamidou Diallo;SF;24;DET;56;0;996;215;375;0,397916667;5;21;0,165277778;210;354;0,411805556;00.58;87;148;0,408333333;57;137;194;55;53;16;71;124;522;diallha01
121;Gorgui Dieng;C;33;SAS;31;1;358;45;117;0,267361111;21;75;00.28;24;42;0,396527778;0,329166667;10;13;0,534027778;27;80;107;53;4;14;32;57;121;dienggo01
122;Ousmane Dieng;PF;19;OKC;39;1;569;76;181;00.42;26;98;0,184027778;50;83;0,418055556;0,341666667;15;23;0,452777778;19;86;105;46;14;7;26;42;193;diengou01
123;Spencer Dinwiddie;SG-PG;29;BRK;79;79;2725;460;1050;0,304166667;181;490;0,25625;279;560;0,345833333;0,363888889;268;330;0,563888889;28;242;270;515;67;24;145;187;1369;dinwisp01
124;Donte DiVincenzo;SG;26;GSW;72;36;1894;235;540;0,302083333;150;378;0,275694444;85;162;0,364583333;0,398611111;58;71;0,567361111;80;245;325;252;97;10;112;133;678;divindo01
125;Luka Dončić;PG;23;DAL;66;66;2391;719;1449;0,344444444;185;541;0,2375;534;908;0,408333333;00.56;515;694;0,515277778;54;515;569;529;90;33;236;166;2138;doncilu01
126;Tyler Dorsey;SF;26;DAL;3;0;8;4;5;00.08;1;2;00.05;3;3;1;00.09;0;0;;1;1;2;0;0;0;0;0;9;dorsety01
127;Luguentz Dort;SF;23;OKC;74;73;2272;339;873;0,269444444;135;409;00.33;204;464;00.44;0,323611111;200;259;0,536111111;128;216;344;154;75;23;92;243;1013;dortlu01
128;Ayo Dosunmu;SG;23;CHI;80;51;2098;281;570;0,342361111;59;189;0,216666667;222;381;0,404861111;0,378472222;66;82;0,559027778;45;175;220;206;62;26;99;182;687;dosunay01
129;Devon Dotson;PG;23;WAS;6;0;53;1;10;00.01;1;4;00.25;0;6;0;00.15;0;0;;6;4;10;8;5;0;3;9;3;dotsode01
130;Jeff Dowtin;PG;25;TOR;25;0;259;25;57;0,304861111;5;16;0,217361111;20;41;0,338888889;0,334722222;6;9;0,463194444;6;17;23;31;9;3;5;13;61;dowtije01
131;PJ Dozier;SF;26;SAC;16;0;79;10;33;0,210416667;2;16;0,086805556;8;17;0,327083333;0,23125;0;0;;1;13;14;10;6;1;5;7;22;doziepj01
132;Goran DragiÄ‡;PG;36;MIL;58;0;870;141;335;0,292361111;52;145;0,249305556;89;190;0,325;0,346527778;31;45;0,478472222;16;65;81;151;13;4;63;65;365;dragigo01
133;Andre Drummond;C;29;CHI;67;0;849;166;274;0,420833333;0;3;0;166;271;0,425694444;0,420833333;67;125;0,372222222;138;306;444;33;45;27;75;117;399;drumman01
134;Chris Duarte;SF;25;IND;46;12;897;123;333;0,25625;55;174;0,219444444;68;159;0,297222222;0,313888889;61;72;0,588194444;19;96;115;64;25;9;41;65;362;duartch01
135;David Duke Jr.;SG;23;BRK;23;0;228;36;78;0,320833333;1;12;0.083;35;66;00.53;0,325;12;17;0,490277778;11;18;29;21;10;1;18;31;85;dukeda01
136;Kris Dunn;PG;28;UTA;22;3;568;116;216;0,372916667;17;36;0,327777778;99;180;00.55;0,4;41;53;0,5375;9;91;100;124;25;10;35;58;290;dunnkr01
137;Kevin Durant;PF;34;PHO;47;47;1672;483;862;00.56;93;230;0,280555556;390;632;0,428472222;0,426388889;307;334;0,638194444;17;296;313;235;34;67;156;99;1366;duranke01
138;Jalen Duren;C;19;DET;67;31;1670;258;398;0,45;0;2;0;258;396;0,452777778;0,45;96;157;0,424305556;229;366;595;75;44;59;92;182;612;durenja01
139;Tari Eason;PF;21;HOU;82;5;1767;296;660;0,311111111;59;172;0,238194444;237;488;0,3375;0,342361111;109;145;0,522222222;195;301;496;88;96;47;101;189;760;easonta01
140;Anthony Edwards;SG;21;MIN;79;79;2842;707;1541;0,31875;213;578;0,25625;494;963;0,35625;0,366666667;319;422;0,525;47;411;458;350;125;58;259;186;1946;edwaran01
141;Kessler Edwards;SF;22;SAC;36;4;385;36;93;0,26875;17;55;0,214583333;19;38;00.05;0,331944444;11;15;0,509027778;23;38;61;23;14;6;13;40;100;edwarke02
142;Keon Ellis;SG;23;SAC;16;0;71;7;16;0,304166667;6;12;00.05;1;4;00.25;0,434027778;4;7;0,396527778;4;4;8;6;5;1;1;10;24;elliske01
143;Joel Embiid;C;28;PHI;66;66;2284;728;1328;0,380555556;66;200;00.33;662;1128;0,407638889;0,397916667;661;771;0,595138889;113;557;670;274;66;112;226;205;2183;embiijo01
144;Drew Eubanks;C;25;POR;78;28;1584;214;334;0,445138889;7;18;0,270138889;207;316;0,454861111;0,452083333;83;125;0,461111111;132;286;418;103;40;102;67;169;518;eubandr01
145;Bruno Fernando;C;24;ATL;39;4;405;59;112;0,365972222;0;4;0;59;108;0,379166667;0,365972222;35;50;00.07;54;83;137;31;6;34;25;74;153;fernabr01
146;Dorian Finney-Smith;PF;29;BRK;66;66;2009;196;501;0,271527778;114;338;0,234027778;82;163;0,349305556;0,350694444;45;59;0,529861111;114;202;316;100;55;36;62;144;551;finnedo01
147;Malachi Flynn;PG;24;TOR;53;2;691;87;242;00.36;47;133;0,245138889;40;109;0,254861111;0,317361111;25;33;0,526388889;15;61;76;70;21;4;25;65;246;flynnma01
148;Simone Fontecchio;SF;27;UTA;52;6;766;115;312;0,25625;63;191;00.33;52;121;00.43;00.47;35;44;0,552083333;31;55;86;42;15;8;39;62;328;fontesi01
149;Bryn Forbes;SG;29;MIN;25;0;268;30;83;0,250694444;14;46;0,211111111;16;37;0,3;0,309722222;15;15;1;4;11;15;17;7;2;12;22;89;forbebr01
150;Trent Forrest;SG;24;ATL;23;3;277;25;60;0,289583333;0;2;0;25;58;0,299305556;0,289583333;2;3;0,463194444;5;32;37;38;7;2;15;17;52;forretr01
